Department;Population;Rural;Urban;;;;
Cundinamarca;9478245;853381;10331626;;;;
Antioquia;4,972,941;1,434,161;6,407,102;;;;
Valle_del_Cauca;3,809,542;666,344;4,475,886;;;;
Atlantico;2,404,831;130,686;2,535,517;;;;
Santander;1,655,627;529,210;2,184,837;;;;
Bolivar;1,549,063;521,047;2,070,110;;;;
Cordoba;937,319;847,464;1,784,783;;;;
Narino;716,592;914,000;1,630,592;;;;
Norte_de_Santander;1,173,712;317,977;1,491,689;;;;
Cauca;545,902;918,586;1,464,488;;;;
Magdalena;938,320;403,426;1,341,746;;;;
Tolima;907,506;422,681;1,330,187;;;;
Boyaca;708,006;509,370;1,217,376;;;;
Cesar;903,411;297,163;1,200,574;;;;
Huila;669,697;430,689;1,100,386;;;;
Meta;795,061;244,661;1,039,722;;;;
Caldas;740,865;257,390;998,255;;;;
Risaralda;736,164;207,237;943,401;;;;
Sucre;569,089;335,774;904,863;;;;
Guajira;410,636;469,924;880,560;;;;
Quindio;471,910;67,994;539,904;;;;
Choco;243,194;291,632;534,826;;;;
Casanare;295,434;125,070;420,504;;;;
Caqueta;258,280;143,569;401,849;;;;
Putumayo;174,539;173,643;348,182;;;;
Arauca;172,634;89,540;262,174;;;;
Vichada;25,833;81,975;107,808;;;;
Guaviare;45,991;36,776;82,767;;;;
Amazonas;37,047;39,542;76,589;;;;
San_Andres_y_Providencia;44,893;16,387;61,280;;;;
Guiania;20,279;27,835;48,114;;;;
Vaupes;12,090;28,707;40,797;;;;
;11,833,841;48,258,494;;;;;
